Tiempo,,Velocidad,,R,,T,
3,"2238805975,275",30,2079692300624,26914,57,9107,59
4,"2985074633,701",29,8882077304442,26914,57,9075,75
5,"3731343292,126",29,5691104985314,26830,73,9043,91
6,"4477611950,551",29,2507059352231,26914,57,9012,7
7,"5223880608,976",28,933022379768,27249,93,9012,7
8,"5970149267,401",28,6160881072428,27333,77,8852,87
9,"6716417925,826",28,2999313260346,27249,93,8884,71
1,"7462686584,25",27,9845801753312,26914,57,8916,55
1,"108208955242,68",27,6700627226157,27249,93,9012,7
0,12089552239011,27,3564069611689,26830,73,9234,95
1,"309701492559,53",27,43640807578,27082,25,9330,47
1,"410447761217,95",26,7317920992515,26998,41,9012,7
1,"511194029876,38",26,4208885919416,28004,49,8884,71
0,16119402985348,26,1109579572738,27333,77,8980,23
1,"712686567193,23",25,8020277802844,26830,73,9075,75
1,"813432835851,65",25,494125556965,27249,93,9107,59
1,"914179104510,08",25,1872786918154,27333,77,9203,11
0,20149253731685,24,881514495404,27166,9,9139,43
2,"115671641826,93",24,5768601819378,26998,41,9043,91
2,"216417910485,35",24,27334286684,27669,13,8948,39
2,"317164179143,78",23,9709895643362,26998,41,8884,71
0,24179104478022,23,6698271850505,27585,29,8884,71
2,"518656716460,63",23,3698825336101,27082,25,9107,59
2,"619402985119,05",23,711823062597,27333,77,8916,55
2,"720149253777,48",22,7737530884855,27082,25,8852,87
0,28208955224359,22,4776213526487,27249,93,9075,75
2,"921641791094,33",22,1828134556298,26914,57,9075,75
3,"22388059752,75",21,8893556364822,26579,21,8980,23
3,"123134328411,18",21,5972740140972,26914,57,9043,91
0,32238805970696,21,3065945848793,27836,81,9139,43
3,"324626865728,03",21,173432204324,27249,93,9107,59
3,"425373134386,46",20,7295456652567,27417,61,9234,95
3,"526119403044,88",20,443227534458,27585,29,9043,91
3,"626865671703,31",20,1584143114675,27333,77,9075,75
3,"727611940361,73",19,8751313457738,27417,61,9203,11
3,"828358209020,16",19,5934038506666,26411,53,8980,23
3,"929104477678,58",19,3132569009924,27333,77,9139,43
4,"29850746337,01",19,347154309233,26830,73,9171,27
4,"130597014995,43",18,7578042317373,26998,41,9107,59
4,"231343283653,86",18,482547949612,27166,9,8852,87
